newspaper_name,article_title,publication_date,change_id,change_content,change_timestamp,classification
20 Minuten,Parkplatz-Abbau vor Praxis: «Patienten haben teils keine Beine»,2025-11-14 16:11:53,337,"--- Database Content\n
+++ Fetched Content\n
@@ -1,7 +1,5 @@\n
 Wo früher Parkplätze für Patientinnen und Patienten standen, steht jetzt ein grosser Veloabstellplatz. 
-Die Hausarztpraxis wehrt sich gegen den Abbau.

Darum gehts

Ein neuer Veloparkplatz an der Seebahnstrasse in Wiedikon sorgt für grossen Ärger. 
-Die «Züri Velo»-Station steht dort, wo vorher oft Menschen mit Beeinträchtigungen parkierten. 
-Denn gleich nebenan befinden sich eine Hausarztpraxis, eine Physiotherapiepraxis und eine Orthopädietechnik-Firma, die unter anderem Beinprothesen herstellt.

Bis im Oktober war das Parkieren dort kein Problem: Vor der Praxis gab es weisse Auto-Parkplätze. 
+Die Hausarztpraxis wehrt sich gegen den Abbau.

Darum gehts

Bis im Oktober war das Parkieren dort kein Problem: Vor der Praxis gab es weisse Auto-Parkplätze. 
 «Unsere Patientinnen und Patienten waren auf diese Parkplätze angewiesen», sagt Hausarzt Stephan Unger. 
 Viele seiner Patientinnen und Patienten könnten nicht laufen – für sie gab es bislang eine direkte Zufahrt.

Die neue Station wurde im Rahmen des Ausbaus des Veloverleihs Publibike errichtet. 
 Mit dem Projekt «Züri Velo 2.0» soll das Angebot bis Frühling 2026 vergrössert werden. ",2025-11-16 16:31:19.565128,content change
20 Minuten,"«Ich erziehe meine Kinder nicht, ich begleite sie»",2025-11-14 17:20:25,,,,
20 Minuten,Das bedeuten die drei Kaffeebohnen auf deinem Espresso Martini,2025-11-14 17:24:40,,,,
20 Minuten,"Warum der Löwen-Clip nicht das zeigt, was viele glauben",2025-11-14 17:38:31,,,,
20 Minuten,"ETH-Mikroroboter bringt Medikamente dorthin, wo sie wirken sollen",2025-11-14 18:01:41,,,,
20 Minuten,Epstein-Files: Trump fordert Ermittlungen gegen Bill Clinton,2025-11-14 18:04:06,,,,
20 Minuten,Astronauten zurück – nun sitzen ihre Retter im All fest,2025-11-14 18:12:26,,,,
20 Minuten,KI-Songs stürmen die Country-Hitparade – Nashville entsetzt,2025-11-14 18:13:34,,,,
20 Minuten,Chränzli-Saison beginnt: Dieses Bingo macht die Pause noch besser,2025-11-14 18:38:28,,,,
20 Minuten,"«Rauchen ist kein Trend, sondern eine Sucht»",2025-11-14 18:44:27,,,,
20 Minuten,«Sind meine Haare gut?» – So lernte Mariel den Bankräuber kennen,2025-11-14 19:20:05,,,,
20 Minuten,"«Wären meine Gäste dort noch gesessen, wären sie alle tot»",2025-11-14 19:36:29,,,,
20 Minuten,Vine ist zurück – frei von KI und Algorithmen,2025-11-14 21:28:36,,,,
20 Minuten,"Kollision zwischen zwei Autos – vier Verletzte, darunter ein Baby",2025-11-15 02:18:47,,,,
20 Minuten,Leihmutter Abi (36): «Ich wollte keine Babymaschine mehr sein»,2025-11-15 04:12:35,,,,
20 Minuten,Zahl der von Leihmüttern ausgetragenen Kinder explodiert,2025-11-15 04:12:43,,,,
20 Minuten,«Love Roulette»-Star hat sein Date «fast umgebracht»,2025-11-15 04:13:35,,,,
20 Minuten,Wolkenkratzer beim Matterhorn? «Wohnungsnot wird kritisch»,2025-11-15 04:14:00,,,,
20 Minuten,Diese Nationen haben WM-Ticket bereits fix – Haaland freut sich,2025-11-15 04:14:23,,,,
20 Minuten,«Das ist verheerend»: Berufsfischer nach Verkaufsstopp schockiert,2025-11-15 04:15:42,,,,
20 Minuten,Historisch schlechte Chartplatzierung: Ist Rap out?,2025-11-15 04:15:52,,,,
20 Minuten,Woher stammt der Bommel an der Strickmütze?,2025-11-15 06:17:07,20890,"--- Database Content\n
+++ Fetched Content\n
@@ -3,9 +3,7 @@\n
 Früher zumindest war das so.

Béret, Bucket Hat, Beanie – die Auswahl an Wintermützen ist gross. 
 Während die einen ihre Kopfbedeckung gerne mit einem Bommel tragen, finden andere den sogenannten Pompon, wie er auf Französisch heisst, altmodisch. 
 Warum der französische Name hier eine Rolle spielt? 
-Weil der Bommel an der Mütze im Schweizer Nachbarland seinen Ursprung hat.

Wie wichtig ist dir ein Bommel an deiner Wintermütze?

Die Pudelmütze, wie sie auch genannt wird, hat eine lange Geschichte: Bereits im 18. 
-Jahrhundert trugen französische Matrosen Mützen mit einem Bommel als Kopfbedeckung. 
-Diese sollten den Kopf vor Stössen schützen – denn unter Deck waren die Decken und Balken oft niedrig.

Der Pompon wurde offiziell in die Uniformen der französischen Marine aufgenommen und ist noch heute an einigen Paradeuniformen zu sehen. 
+Weil der Bommel an der Mütze im Schweizer Nachbarland seinen Ursprung hat.

Wie wichtig ist dir ein Bommel an deiner Wintermütze?

Der Pompon wurde offiziell in die Uniformen der französischen Marine aufgenommen und ist noch heute an einigen Paradeuniformen zu sehen. 
 Der Bommel diente sowohl als Schutz als auch zur Unterscheidung der Einheiten: Verschiedene Farben zeigten an, zu welcher Truppe ein Matrose gehörte und von welchem Rang er war – ein Brauch, der sich auch in anderen Ländern fand.

Um den Bommel an der Mütze rankt sich in Frankreich ausserdem ein alter Aberglaube. Wer es schafft, den roten Bommel heimlich zu berühren, soll einen Tag lang Glück haben. 
 Wird eine Frau dabei erwischt, heisst es der Tradition nach: Kuss als Strafe.

Heute findet man Bommelmützen in allen Formen und Farben – vom klassischen Strickmodell bis zum modischen Béret mit Pompon. 
 Der Knäuel auf dem Kopf hat heute jedoch meist nur noch rein dekorative Gründe.

Hier gibts noch mehr von «the season»

Vanessa Büchel (vab) arbeitet seit 2025 für 20 Minuten. ",2025-11-19 16:21:07.526453,content change
20 Minuten,Zu teuer: Trump-Regierung plant Zoll-Ausnahmen für Lebensmittel,2025-11-15 09:02:14,,,,
20 Minuten,Robbie Williams will abnehmen und nimmt dafür Blindheit in Kauf,2025-11-15 09:25:45,,,,
20 Minuten,Halbfinale: Blinde Zürcherin begeistert bei «The Voice»,2025-11-15 09:41:41,,,,
20 Minuten,Journalistin packt über Affäre mit Robert Kennedy Jr. aus,2025-11-15 10:28:34,,,,
20 Minuten,Brand in Basel – Polizei geht von Brandstiftung aus,2025-11-15 11:56:44,,,,
20 Minuten,Dieser Stromer klingt wie ein Sportwagen,2025-11-15 12:00:50,,,,
20 Minuten,«Natürlich fallen die Brüste auf»: Turnstar erklärt Schönheits-OP,2025-11-15 12:51:36,,,,
20 Minuten,Maurer und Brunner wollen EU-kritische Kantone abspalten,2025-11-15 13:39:34,,,,
20 Minuten,Rotwein oder Weisswein: Was ist weniger ungesund?,2025-11-15 13:55:28,,,,
20 Minuten,«Durchgeknallt»: Trump bricht mit rechter Hardlinerin Greene,2025-11-15 14:32:41,,,,
20 Minuten,«Früher war die Qualität der Schuhe besser»,2025-11-15 14:36:33,,,,
20 Minuten,«Klatsche für KKS»? Das sagt die Bundespräsidentin zu ihrer Rolle,2025-11-15 15:06:54,,,,
20 Minuten,Erstmals in Deutschland: Mensch mit Rattenhepatitis infiziert,2025-11-15 16:00:35,,,,
20 Minuten,Schwerer Autocrash: Drei Erwachsene und drei Kinder verletzt,2025-11-15 16:03:54,,,,
20 Minuten,"«Laut, entschlossen»: Unbewilligte Antifa-Demo zieht durch Stadt",2025-11-15 16:36:55,,,,
20 Minuten,Frau wirft 7 Jahre in Wohnung eingelagerte Möbel weg – verurteilt,2025-11-15 16:53:37,,,,
20 Minuten,Seit Neustem auch Jeff Goldblum: Diese Promis sind Vegetarier,2025-11-15 16:55:50,,,,
20 Minuten,«Baywatch»-Ikone trägt jetzt Tattoos bis zu den Händen,2025-11-15 17:57:37,,,,
20 Minuten,"Drei Fragen zeigen, ob deine Schlafprobleme ein Warnsignal sind",2025-11-15 18:42:51,,,,
20 Minuten,Wegen Chemikalien-Verdacht: Polizei evakuiert Hotel,2025-11-15 18:59:56,,,,
20 Minuten,SBB sucht neues Symbol – immer wieder landen Pendler im Depot,2025-11-15 19:41:20,,,,
20 Minuten,Pädophiler rast der Polizei davon – er kommt nicht weit,2025-11-15 19:43:03,,,,
20 Minuten,Spanien ist eine Macht – Belgien patzt gegen Kasachstan,2025-11-15 20:08:28,,,,
20 Minuten,Möglicher Tornado: Tote und Verletzte in Portugal,2025-11-15 20:25:03,,,,
20 Minuten,Abstimmungen: Sind Junge einer Ü65-Übermacht ausgeliefert?,2025-11-15 20:25:53,,,,
20 Minuten,Nach Fast-Quali für die WM: Nati-Star verrät neue Hierarchie,2025-11-15 22:02:58,,,,
20 Minuten,«Billiger Penalty»: Schweden meckern nach Sieg der Nati,2025-11-15 22:15:13,,,,
20 Minuten,Greene werde vor «drohender Gefahr» gewarnt,2025-11-15 23:39:51,,,,
20 Minuten,Cybertruck bis Waffen: Was die USA von der Schweiz fordern,2025-11-16 00:23:13,,,,
20 Minuten,Noch nie waren so wenige Chefs Schweizer,2025-11-16 01:10:55,,,,
20 Minuten,Brand in Schreinerei: 200 Feuerwehrleute im Einsatz,2025-11-16 02:49:25,,,,
20 Minuten,SBB-Chef brauchte tagelang Bodyguards,2025-11-16 03:41:15,,,,
20 Minuten,"Ein Nati-Star erhält die 6, einer ist ungenügend – die Noten",2025-11-16 03:42:11,,,,
20 Minuten,«Das will ich nicht erleben»: Yakin warnt vor Kosovo-Fiasko,2025-11-16 03:42:17,,,,
20 Minuten,«Christfluencer machen die Religion für Junge wieder attraktiv»,2025-11-16 03:43:02,,,,
20 Minuten,Von Orcas gehetzt: Zum Glück entdeckt der Seehund das Boot,2025-11-16 03:43:40,,,,
20 Minuten,«Ich gehe jeden Sonntag in die Kirche – Glaube gibt mir Kraft»,2025-11-16 03:44:13,,,,
20 Minuten,Stimmrecht ab 14 & für die Familie: Das fordern die Jungparteien,2025-11-16 03:44:20,,,,
20 Minuten,Epstein-E-Mails: Davos und Putins Blowjob-Bilder von Trump,2025-11-16 07:27:35,,,,
20 Minuten,150'000 Tote: Wie der Sudan zur Kriegshölle wurde,2025-11-16 07:57:56,,,,
20 Minuten,Fast doppelt so viele Stimmen wie Platz 2: Euer Star des Spiels,2025-11-16 08:34:27,336,"--- Database Content\n
+++ Fetched Content\n
@@ -3,9 +3,7 @@\n
 Wie nach jedem Nati-Spiel hat 20 Minuten die Stars mit Schulnoten bewertet. 
 Jetzt hat uns auch eure Meinung Wunder genommen.

Im Nachgang des zweitletzten Quali-Spiels dieser Kampagne hat diese Redaktion der Community fünf Spieler zur Auswahl gegeben, jetzt sind die Resultate bekannt. 
 Und wie bei 20 Minuten schwingt auch bei euch Dan Ndoye oben aus. 
-Knapp 1400 Leute haben für den Flügelspieler abgestimmt, das entspricht 40 Prozent.

Damit hat der Torschütze zum 3:1 fast doppelt so viele Stimmen wie der zweitplatzierte Granit Xhaka. 
-Wie schon im Hinspiel übernahm der Nati-Captain Verantwortung und verwandelte den Penalty zum wegweisenden 2:1. 
-Der gefoulte Breel Embolo landet hinter dem Mittelfeldstrategen auf dem dritten Rang.

Den vierten Platz teilen sich Goalie Gregor Kobel und Verteidiger Nico Elvedi brüderlich, sie erhalten je sieben Prozent der Stimmen von euch. 
+Knapp 1400 Leute haben für den Flügelspieler abgestimmt, das entspricht 40 Prozent.

Den vierten Platz teilen sich Goalie Gregor Kobel und Verteidiger Nico Elvedi brüderlich, sie erhalten je sieben Prozent der Stimmen von euch. 
 Mit solchen Abwehrleistungen im Gepäck müsste es am Dienstag gegen Kosovo mit dem Teufel zugehen, dass die Nati mit sechs Toren Unterschied verlieren sollte.

Vor allem wenn man bedenkt, dass man in den ersten fünf Spielen bisher gerade mal ein Gegentor zuliess. 
 Die entscheidende Partie in Pristina gibt es am Dienstag ab 20.45 Uhr bei uns im Ticker.

Wer war für dich der beste Spieler?

Dominik Mani (dma) arbeitet seit 2022 für 20 Minuten. 
 Er arbeitet im Ressort Sport, seine Expertise hat er im Fussball, Ski, Eishockey, Tennis und in der Formel 1.",2025-11-16 16:31:19.528565,content change
20 Minuten,Wegen «Drittstaatenkäse»: Tonnenweise Ware landet im Abfall,2025-11-16 08:45:25,2078,"--- Database Content\n
+++ Fetched Content\n
@@ -1,6 +1,6 @@\n
 In Bern haben sich aufmerksame Passanten gratis kiloweise Käse gesichert. 
 Die Ware stammt von der Käse-WM und musste nach dem Anlass vernichtet werden – doch geschah das auch wirklich?

Darum gehts

Letzte Woche massen sich in Bern Hunderte Käserinnen und Käser bei den World Cheese Awards aus der ganzen Welt. 
-Insgesamt 5244 Sorten aus 46 Ländern waren im Rennen – schlussendlich ging der Titel an einen Schweizer Klassiker: Die Bergkäserei Vorderfrutigen gewann mit ihrem 18 Monate lang gereiften Gruyère.

Für Diskussionen sorgten nach dem Event vor allem die Produkte selbst. 
+Insgesamt 5244 Sorten aus 46 Ländern waren im Rennen – schlussendlich ging der Titel an einen Schweizer Klassiker: Die Bergkäserei Vorderfultigen gewann mit ihrem 18 Monate lang gereiften Gruyère.

Für Diskussionen sorgten nach dem Event vor allem die Produkte selbst. 
 Wie in der Nacht auf Samstag in einer Berner Telegram-Gruppe gepostete Bilder zeigen, endeten die Cheese Awards für die Käselaibe in der Abfalltonne. 
 «Es hat mehr als genug für alle!», lautet der Text zu einem Bild, das eine bis zum Rand mit Käse gefüllte Handkarre zeigt.

Eine weitere Aufnahme zeigt diverse Abfallcontainer bei der Berner Messehalle, die anscheinend bis zum Rand mit Käse gefüllt sind. 
 Das Organisationskomitee verteidigt sich angesichts der Lebensmittelverschwendung: Wie OK-Chef Martin Spahr gegenüber der «Berner Zeitung» sagt, habe es keine andere Möglichkeit gegeben.

Denn beim Import von Lebensmitteln gelten strenge Regeln, um zu verhindern, dass mit den Produkten unbemerkt auch Krankheitserreger und Bakterien aus dem Ausland eingeschleppt werden. ",2025-11-17 05:41:17.731294,typo
20 Minuten,Braathen führt: Schweizer in Rücklage und brauchen einen Exploit,2025-11-16 08:45:47,,,,
20 Minuten,Nef kann Ausfall nur knapp verhindern – Meillard braucht Exploit,2025-11-16 08:45:47,,,,
20 Minuten,Schweizer weit zurück – Brasil-Star Braathen haut einen raus,2025-11-16 08:45:47,1,"--- Database Content\n
+++ Fetched Content\n
@@ -1,4 +1,2 @@\n
-16.11.2025

So 10:32

Stark gestartet, stark nachgelassen. 
-Nein, dieser Steilhang war nicht das gelbe vom Ei. 
-Mit 2,41 Sekunden Rückstand fährt er nur auf Zwischenrang 18. 
-Auch Daniel Yule vor ihm wird noch zittern müssen.
+16.11.2025

So 10:39

Strolz kann nicht überzeugen und verliert von Sektor zu Sektor Zeit. 
+Am Schluss fährt er mit über zwei Sekunden Rückstand auf Rang 19.",2025-11-16 10:41:06.905109,content change
20 Minuten,Braathen führt: Meillard und Co. in Rücklage und brauchen Exploit,2025-11-16 08:45:47,92,"--- Database Content\n
+++ Fetched Content\n
@@ -1,5 +1,3 @@\n
-16.11.2025

So 12:51

An der Spitze steht nach der Halbzeit Lucas Pinheiro Braathen. 
-Der Brasilianer zeigte von A bis Z eine starke Leistung und liegt über vier Zehntel vor Clement Noel und Timon Haugan. 
-Dahinter folgt Linus Strasse mit fast neun Zehtnel Rückstand.

Der Kampf um die Podestplätze dürfte wie fast immer im Slalom spannend werden. 
-Zwischen dem Zweiten Noel und Nef auf Rang 14 liegen nur rund eine Sekunde. 
-Können die Spitzenfahrer ihre Leistung vom Morgen bestätigen oder gelingt einem Fahrer von weiter hinten ein entfesselter Lauf?
+16.11.2025

So 13:09

Der erste von vier Franzosen ist unterwegs. 
+Die Fahrt ist gut, trotzdem reicht es nicht ganz gegen den Führenden Norweger. 
+Mit drei Zehntel Rückstand verdrängt er aber Yule knapp.",2025-11-16 13:11:02.094492,content change
20 Minuten,Korruptionsskandal: Selenski will Energiesektor neu aufbauen,2025-11-16 09:01:10,,,,
20 Minuten,«Wir sind anders!» – so wild ist das Bündner Nachtleben,2025-11-16 09:13:50,,,,
